id_cliente,idade,sexo,item_comprado,categoria,valor_compra(usd),localização,tamanho_item,cor_item,temporada_compra,classificação_cliente_compra,assinatura_cliente,método_pagamento,tipo_envio_cliente,desconto_compra,código_promocional,transações_concluidas_cliente,preferência_método_pagamento,frequência_compras_cliente
46,50,Masculino,Meias,Roupas,21,Tennessee,XL,Índigo,Outono,2.9,Sim,Venmo,Envio em 2 dias,Sim,Sim,25,PayPal,Anualmente
47,57,Masculino,Camisa,Roupas,43,California,L,Branco,Verão,2.9,Sim,Venmo,Retirada na loja,Sim,Sim,45,Dinheiro,Trimestral
48,55,Masculino,Joia,Acessórios,54,Montana,M,Carvão,Inverno,4.5,Sim,Cartão de Débito,Frete grátis,Sim,Sim,36,Dinheiro,Semanalmente
49,42,Masculino,Camisa,Roupas,55,Nevada,M,Laranja,Verão,2.7,Sim,Cartão de Débito,Retirada na loja,Sim,Sim,38,Dinheiro,Por mês
50,68,Masculino,Capuz,Roupas,30,New Jersey,S,Índigo,Primavera,4.6,Sim,Transferência Bancária,Entrega aérea no dia seguinte,Sim,Sim,34,Cartão de Débito,Bimensalmente
51,49,Masculino,Blusa,Roupas,28,Maryland,M,Vermelho,Primavera,3.7,Sim,Dinheiro,Retirada na loja,Sim,Sim,39,Cartão de Débito,Bimensalmente
52,59,Masculino,Saia,Roupas,59,Vermont,XL,Cinza,Inverno,4.7,Sim,PayPal,Envio em 2 dias,Sim,Sim,7,Cartão de Crédito,Trimestral
53,42,Masculino,Camiseta,Roupas,20,Alaska,M,Verde,Verão,2.6,Sim,Cartão de Crédito,Frete grátis,Sim,Sim,26,Cartão de Crédito,Semanalmente
54,29,Masculino,Saia,Roupas,24,Mississippi,S,Pêssego,Inverno,3.9,Sim,Cartão de Débito,Entrega aérea no dia seguinte,Sim,Sim,35,Cartão de Crédito,Semanalmente
55,47,Masculino,Casaco,Agasalhos,94,New Mexico,M,Marrom,Verão,4.2,Sim,Transferência Bancária,Entrega aérea no dia seguinte,Sim,Sim,35,Cartão de Débito,Bimensalmente
56,40,Masculino,Jaqueta,Agasalhos,28,South Carolina,M,Lavanda,Inverno,3.0,Sim,Venmo,Envio em 2 dias,Sim,Sim,49,Cartão de Crédito,Anualmente
57,41,Masculino,Mochila,Acessórios,73,Mississippi,XL,Marrom,Verão,4.7,Sim,PayPal,Retirada na loja,Sim,Sim,46,Cartão de Crédito,Semanalmente
58,21,Masculino,Casaco,Agasalhos,64,West Virginia,M,Branco,Verão,4.4,Sim,PayPal,Retirada na loja,Sim,Sim,17,Cartão de Débito,Quinzenal
59,69,Masculino,Capuz,Roupas,54,Missouri,M,Carvão,Verão,4.2,Sim,Cartão de Crédito,Frete grátis,Sim,Sim,29,Venmo,Por mês
60,63,Masculino,Cinto,Acessórios,79,Louisiana,L,Amarelo,Primavera,4.6,Sim,Cartão de Débito,Padrão,Sim,Sim,4,Cartão de Débito,Semanalmente
61,50,Masculino,Suéter,Roupas,37,Idaho,L,Marrom,Verão,4.0,Sim,Cartão de Crédito,Expresso,Sim,Sim,17,Dinheiro,Semanalmente
62,55,Masculino,Lenço,Acessórios,68,Texas,M,Laranja,Inverno,4.7,Sim,Transferência Bancária,Retirada na loja,Sim,Sim,21,Cartão de Crédito,A cada 3 meses
63,30,Masculino,Tênis,Calçados,21,Mississippi,S,Magenta,Primavera,3.8,Sim,Cartão de Crédito,Frete grátis,Sim,Sim,31,Cartão de Crédito,Quinzenal
64,33,Masculino,Oculos de sol,Acessórios,79,Arizona,L,Lavanda,Inverno,2.7,Sim,Cartão de Crédito,Envio em 2 dias,Sim,Sim,43,Cartão de Crédito,Semanalmente
65,65,Masculino,Botas,Calçados,83,Alabama,S,Verde,Outono,4.8,Sim,PayPal,Padrão,Sim,Sim,18,Cartão de Débito,Quinzenal
66,65,Masculino,Mochila,Acessórios,36,New Jersey,M,Roxo,Primavera,4.8,Sim,Cartão de Crédito,Envio em 2 dias,Sim,Sim,44,Venmo,A cada 3 meses
67,31,Masculino,Blusa,Roupas,94,Pennsylvania,S,Magenta,Inverno,4.7,Sim,Transferência Bancária,Envio em 2 dias,Sim,Sim,3,Venmo,A cada 3 meses
68,45,Masculino,Casaco,Agasalhos,33,Connecticut,L,Cinza,Inverno,4.4,Sim,PayPal,Retirada na loja,Sim,Sim,49,Cartão de Débito,Por mês
69,57,Masculino,Bolsa,Acessórios,46,Utah,L,Prata,Verão,3.9,Sim,Cartão de Crédito,Entrega aérea no dia seguinte,Sim,Sim,21,Dinheiro,A cada 3 meses
70,48,Masculino,Cinto,Acessórios,70,Tennessee,S,Ciano,Verão,4.4,Sim,Cartão de Crédito,Expresso,Sim,Sim,5,Dinheiro,Semanalmente
71,22,Masculino,Cinto,Acessórios,29,Alabama,M,Magenta,Outono,4.2,Sim,Cartão de Crédito,Expresso,Sim,Sim,32,Cartão de Débito,A cada 3 meses
72,36,Masculino,Vestido,Roupas,48,Virginia,L,Ouro,Verão,2.9,Sim,Cartão de Débito,Expresso,Sim,Sim,34,Transferência Bancária,Anualmente
73,18,Masculino,Vestido,Roupas,26,Georgia,M,Oliva,Inverno,2.9,Sim,Cartão de Débito,Retirada na loja,Sim,Sim,21,Transferência Bancária,A cada 3 meses
74,48,Masculino,Calça,Roupas,85,Hawaii,M,Azul-petrolio,Primavera,2.7,Sim,Cartão de Débito,Frete grátis,Sim,Sim,43,Transferência Bancária,Bimensalmente
75,49,Masculino,Luvas,Acessórios,58,Indiana,L,Violeta,Primavera,4.5,Sim,PayPal,Expresso,Sim,Sim,3,Dinheiro,Por mês
76,64,Masculino,Lenço,Acessórios,85,Utah,M,Azul,Verão,2.7,Sim,Cartão de Débito,Frete grátis,Sim,Sim,21,Cartão de Crédito,Anualmente
77,50,Masculino,Chapéu,Acessórios,43,Delaware,S,Azul-petrolio,Verão,4.2,Sim,Transferência Bancária,Frete grátis,Sim,Sim,32,Venmo,Por mês
78,22,Masculino,Vestido,Roupas,53,Delaware,L,Ouro,Verão,3.3,Sim,Cartão de Débito,Entrega aérea no dia seguinte,Sim,Sim,36,Cartão de Débito,Quinzenal
79,50,Masculino,Saia,Roupas,91,Nebraska,M,Marrom,Primavera,4.7,Sim,Venmo,Frete grátis,Sim,Sim,50,Venmo,Quinzenal
80,38,Masculino,Jaqueta,Agasalhos,96,Iowa,M,Oliva,Inverno,2.6,Sim,Transferência Bancária,Envio em 2 dias,Sim,Sim,43,Transferência Bancária,A cada 3 meses
81,19,Masculino,Sandálias,Calçados,72,New York,XL,Azul,Verão,3.3,Sim,Cartão de Crédito,Retirada na loja,Sim,Sim,24,Cartão de Crédito,A cada 3 meses
82,67,Masculino,Sapatos,Calçados,96,Virginia,L,Marrom,Verão,2.6,Sim,PayPal,Expresso,Sim,Sim,36,Cartão de Crédito,A cada 3 meses
83,19,Masculino,Calça,Roupas,28,Georgia,S,Oliva,Primavera,4.0,Sim,Transferência Bancária,Envio em 2 dias,Sim,Sim,21,Cartão de Crédito,A cada 3 meses
84,36,Masculino,Vestido,Roupas,40,Texas,M,Turquesa,Verão,4.1,Sim,Cartão de Débito,Padrão,Sim,Sim,34,Transferência Bancária,Semanalmente
85,52,Masculino,Casaco,Agasalhos,32,Arizona,S,Pêssego,Primavera,4.4,Sim,Dinheiro,Padrão,Sim,Sim,42,Transferência Bancária,A cada 3 meses
86,53,Masculino,Oculos de sol,Acessórios,95,New Mexico,M,Carvão,Inverno,4.5,Sim,Cartão de Crédito,Entrega aérea no dia seguinte,Sim,Sim,2,Cartão de Débito,Bimensalmente
87,24,Masculino,Capuz,Roupas,41,Nevada,L,Rosa,Primavera,3.7,Sim,Venmo,Envio em 2 dias,Sim,Sim,47,Dinheiro,Bimensalmente
88,52,Masculino,Sapatos,Calçados,53,Ohio,M,Verde,Outono,3.7,Sim,Cartão de Débito,Envio em 2 dias,Sim,Sim,44,Cartão de Débito,Quinzenal
89,33,Masculino,Camiseta,Roupas,47,Wyoming,M,Laranja,Outono,3.5,Sim,Cartão de Crédito,Frete grátis,Sim,Sim,35,Cartão de Crédito,Por mês
90,47,Masculino,Jaqueta,Agasalhos,83,California,XL,Rosa,Outono,3.6,Sim,Transferência Bancária,Entrega aérea no dia seguinte,Sim,Sim,15,Dinheiro,Trimestral
91,25,Masculino,Chapéu,Acessórios,48,South Carolina,L,Violeta,Verão,2.9,Sim,Venmo,Expresso,Sim,Sim,29,Cartão de Crédito,Por mês
92,44,Masculino,Lenço,Acessórios,99,South Carolina,S,Verde,Inverno,4.6,Sim,PayPal,Padrão,Sim,Sim,18,Cartão de Crédito,A cada 3 meses
93,61,Masculino,Jaqueta,Agasalhos,87,Texas,M,Oliva,Inverno,4.4,Sim,Dinheiro,Envio em 2 dias,Sim,Sim,13,Venmo,A cada 3 meses
94,37,Masculino,Suéter,Roupas,62,Florida,M,Roxo,Outono,4.5,Sim,PayPal,Padrão,Sim,Sim,46,Cartão de Crédito,Semanalmente
95,58,Masculino,Saia,Roupas,76,Nevada,S,Prata,Primavera,4.6,Sim,Transferência Bancária,Frete grátis,Sim,Sim,28,Cartão de Crédito,Semanalmente
96,37,Masculino,Tênis,Calçados,100,Missouri,L,Rosa,Outono,3.8,Sim,PayPal,Frete grátis,Sim,Sim,48,PayPal,Por mês
97,32,Masculino,Luvas,Acessórios,73,Delaware,S,Ouro,Primavera,3.6,Sim,Venmo,Expresso,Sim,Sim,43,Venmo,A cada 3 meses
98,21,Masculino,Sapatos,Calçados,92,Virginia,M,Azul-petrolio,Inverno,4.8,Sim,PayPal,Retirada na loja,Sim,Sim,37,Dinheiro,Anualmente
99,20,Masculino,Jeans,Roupas,67,New York,XL,Azul-petrolio,Primavera,2.6,Sim,Dinheiro,Entrega aérea no dia seguinte,Sim,Sim,20,Transferência Bancária,Anualmente
100,26,Masculino,Capuz,Roupas,40,Missouri,XL,Índigo,Verão,3.7,Sim,Dinheiro,Expresso,Sim,Sim,33,Cartão de Débito,Trimestral
101,62,Masculino,Oculos de sol,Acessórios,98,South Dakota,M,Marrom,Outono,2.7,Sim,PayPal,Expresso,Sim,Sim,31,Dinheiro,Quinzenal
102,27,Masculino,Casaco,Agasalhos,85,North Dakota,XL,Branco,Primavera,4.6,Sim,Venmo,Expresso,Sim,Sim,50,Cartão de Crédito,Bimensalmente
103,51,Masculino,Meias,Roupas,67,Oklahoma,L,Violeta,Inverno,4.8,Sim,Cartão de Crédito,Entrega aérea no dia seguinte,Sim,Sim,35,Cartão de Crédito,Trimestral
104,54,Masculino,Botas,Calçados,89,West Virginia,L,Vermelho,Inverno,4.0,Sim,Cartão de Débito,Entrega aérea no dia seguinte,Sim,Sim,22,Venmo,Bimensalmente
105,55,Masculino,Oculos de sol,Acessórios,24,New Hampshire,L,Rosa,Primavera,4.4,Sim,Transferência Bancária,Envio em 2 dias,Sim,Sim,1,PayPal,Por mês
106,69,Masculino,Mochila,Acessórios,96,New York,M,Carvão,Outono,3.6,Sim,Transferência Bancária,Entrega aérea no dia seguinte,Sim,Sim,4,Transferência Bancária,Anualmente
107,64,Masculino,Jaqueta,Agasalhos,35,Minnesota,L,Branco,Verão,3.7,Sim,Dinheiro,Padrão,Sim,Sim,31,Cartão de Crédito,Por mês
108,28,Masculino,Tênis,Calçados,67,Maryland,L,Oliva,Inverno,3.1,Sim,Dinheiro,Entrega aérea no dia seguinte,Sim,Sim,46,PayPal,Quinzenal
109,70,Masculino,Meias,Roupas,79,Montana,L,Roxo,Primavera,3.4,Sim,Transferência Bancária,Entrega aérea no dia seguinte,Sim,Sim,32,Transferência Bancária,Bimensalmente
110,58,Masculino,Camiseta,Roupas,85,Alabama,M,Violeta,Primavera,2.6,Sim,Dinheiro,Entrega aérea no dia seguinte,Sim,Sim,43,Transferência Bancária,Quinzenal
111,56,Masculino,Mochila,Acessórios,26,New York,M,Preto,Verão,4.0,Sim,Transferência Bancária,Padrão,Sim,Sim,26,Venmo,Quinzenal
112,26,Masculino,Cinto,Acessórios,75,Massachusetts,L,Roxo,Verão,5.0,Sim,PayPal,Frete grátis,Sim,Sim,9,Cartão de Crédito,Anualmente
113,37,Masculino,Luvas,Acessórios,65,Florida,M,Vermelho,Primavera,4.3,Sim,Cartão de Crédito,Frete grátis,Sim,Sim,28,PayPal,Bimensalmente
114,44,Masculino,Chapéu,Acessórios,54,New Jersey,L,Marrom,Inverno,3.1,Sim,Cartão de Débito,Entrega aérea no dia seguinte,Sim,Sim,20,PayPal,Trimestral
115,70,Masculino,Casaco,Agasalhos,95,Massachusetts,S,Azul,Verão,3.7,Sim,Venmo,Retirada na loja,Sim,Sim,9,Dinheiro,Semanalmente
116,53,Masculino,Saia,Roupas,94,Wyoming,M,Cinza,Primavera,3.8,Sim,Dinheiro,Padrão,Sim,Sim,48,Cartão de Débito,A cada 3 meses
117,55,Masculino,Sapatos,Calçados,86,Virginia,S,Azul,Primavera,3.4,Sim,PayPal,Frete grátis,Sim,Sim,12,Venmo,Anualmente
118,50,Masculino,Sandálias,Calçados,32,South Dakota,L,Amarelo,Verão,4.6,Sim,Transferência Bancária,Expresso,Sim,Sim,29,Dinheiro,Quinzenal
119,50,Masculino,Suéter,Roupas,45,Kentucky,L,Laranja,Outono,4.8,Sim,Transferência Bancária,Envio em 2 dias,Sim,Sim,27,Dinheiro,Bimensalmente
120,38,Masculino,Casaco,Agasalhos,76,Wyoming,M,Laranja,Outono,4.3,Sim,Cartão de Débito,Expresso,Sim,Sim,44,Dinheiro,Anualmente
121,64,Masculino,Chapéu,Acessórios,84,West Virginia,L,Vermelho,Verão,4.0,Sim,PayPal,Expresso,Sim,Sim,32,Transferência Bancária,Anualmente
122,19,Masculino,Shorts,Roupas,72,Virginia,M,Oliva,Inverno,4.2,Sim,Dinheiro,Padrão,Sim,Sim,11,Dinheiro,Quinzenal
123,40,Masculino,Mochila,Acessórios,40,Washington,L,Marrom,Primavera,4.8,Sim,Cartão de Crédito,Envio em 2 dias,Sim,Sim,44,Dinheiro,Quinzenal
124,57,Masculino,Suéter,Roupas,89,Louisiana,L,Marrom,Outono,3.1,Sim,Cartão de Débito,Frete grátis,Sim,Sim,46,Dinheiro,Semanalmente
125,44,Masculino,Suéter,Roupas,86,Nevada,M,Cinza,Primavera,3.1,Sim,PayPal,Entrega aérea no dia seguinte,Sim,Sim,50,PayPal,Anualmente
126,49,Masculino,Shorts,Roupas,54,California,M,Índigo,Inverno,3.6,Sim,Dinheiro,Entrega aérea no dia seguinte,Sim,Sim,45,Venmo,A cada 3 meses
127,43,Masculino,Shorts,Roupas,36,Mississippi,L,Rosa,Primavera,3.9,Sim,Transferência Bancária,Retirada na loja,Sim,Sim,48,Dinheiro,A cada 3 meses
128,24,Masculino,Suéter,Roupas,89,Mississippi,M,Cinza,Inverno,4.8,Sim,Venmo,Entrega aérea no dia seguinte,Sim,Sim,26,Cartão de Crédito,Semanalmente
129,20,Masculino,Lenço,Acessórios,32,California,M,Ouro,Primavera,4.7,Sim,Venmo,Padrão,Sim,Sim,21,Cartão de Crédito,Quinzenal
130,24,Masculino,Vestido,Roupas,67,Pennsylvania,XL,Oliva,Verão,4.2,Sim,Dinheiro,Envio em 2 dias,Sim,Sim,49,PayPal,Bimensalmente
131,44,Masculino,Lenço,Acessórios,39,Kentucky,L,Violeta,Outono,3.7,Sim,Cartão de Crédito,Entrega aérea no dia seguinte,Sim,Sim,13,PayPal,Quinzenal
132,28,Masculino,Saia,Roupas,29,Maine,L,Índigo,Verão,3.9,Sim,PayPal,Padrão,Sim,Sim,46,Cartão de Crédito,Semanalmente
133,30,Masculino,Mochila,Acessórios,58,New Mexico,M,Laranja,Outono,4.7,Sim,Transferência Bancária,Envio em 2 dias,Sim,Sim,42,PayPal,Semanalmente
134,52,Masculino,Suéter,Roupas,65,Montana,M,Violeta,Inverno,2.5,Sim,Transferência Bancária,Entrega aérea no dia seguinte,Sim,Sim,25,Venmo,Anualmente
135,43,Masculino,Chapéu,Acessórios,94,Texas,L,Cinza,Outono,4.9,Sim,Cartão de Crédito,Retirada na loja,Sim,Sim,25,Dinheiro,Por mês
136,43,Masculino,Sandálias,Calçados,81,Kansas,M,Roxo,Outono,4.1,Sim,PayPal,Expresso,Sim,Sim,12,PayPal,Trimestral
137,39,Masculino,Blusa,Roupas,86,South Carolina,M,Branco,Inverno,3.3,Sim,Cartão de Crédito,Frete grátis,Sim,Sim,4,Cartão de Débito,Trimestral
138,68,Masculino,Tênis,Calçados,43,Colorado,M,Turquesa,Primavera,4.7,Sim,Dinheiro,Frete grátis,Sim,Sim,38,PayPal,Semanalmente
139,68,Masculino,Saia,Roupas,29,Georgia,M,Marrom,Inverno,4.4,Sim,Dinheiro,Retirada na loja,Sim,Sim,42,Transferência Bancária,Semanalmente
140,49,Masculino,Casaco,Agasalhos,95,Florida,M,Branco,Outono,3.8,Sim,Cartão de Débito,Retirada na loja,Sim,Sim,30,Venmo,Anualmente
141,63,Masculino,Camisa,Roupas,28,North Carolina,L,Amarelo,Outono,3.9,Sim,Transferência Bancária,Envio em 2 dias,Sim,Sim,50,Cartão de Crédito,Semanalmente
142,56,Masculino,Luvas,Acessórios,46,Virginia,M,Turquesa,Outono,4.9,Sim,PayPal,Frete grátis,Sim,Sim,45,PayPal,Semanalmente
143,37,Masculino,Jaqueta,Agasalhos,58,Nebraska,L,Violeta,Outono,3.1,Sim,PayPal,Frete grátis,Sim,Sim,33,Cartão de Crédito,Quinzenal
144,30,Masculino,Casaco,Agasalhos,48,Missouri,M,Bege,Outono,2.7,Sim,Transferência Bancária,Retirada na loja,Sim,Sim,25,PayPal,Trimestral
145,19,Masculino,Sapatos,Calçados,43,New Jersey,M,Prata,Outono,3.2,Sim,Cartão de Crédito,Expresso,Sim,Sim,25,Dinheiro,Por mês
146,24,Masculino,Joia,Acessórios,95,Missouri,M,Azul-petrolio,Outono,4.5,Sim,Venmo,Padrão,Sim,Sim,44,Cartão de Débito,Trimestral
147,52,Masculino,Saia,Roupas,30,Colorado,S,Preto,Outono,4.0,Sim,Cartão de Débito,Padrão,Sim,Sim,21,Venmo,Quinzenal
148,63,Masculino,Sapatos,Calçados,64,Idaho,M,Roxo,Verão,3.5,Sim,Transferência Bancária,Envio em 2 dias,Sim,Sim,31,Transferência Bancária,Quinzenal
149,37,Masculino,Luvas,Acessórios,90,Wyoming,M,Cinza,Outono,2.6,Sim,PayPal,Retirada na loja,Sim,Sim,47,Cartão de Débito,Anualmente
150,38,Masculino,Calça,Roupas,76,Delaware,M,Branco,Verão,3.2,Sim,Venmo,Frete grátis,Sim,Sim,14,PayPal,Por mês
151,35,Masculino,Botas,Calçados,96,California,L,Ciano,Outono,4.9,Sim,Transferência Bancária,Padrão,Sim,Sim,17,Cartão de Débito,A cada 3 meses
152,28,Masculino,Oculos de sol,Acessórios,47,North Dakota,L,Turquesa,Outono,4.5,Sim,Cartão de Débito,Entrega aérea no dia seguinte,Sim,Sim,3,Venmo,Anualmente
153,30,Masculino,Camisa,Roupas,85,South Carolina,S,Marrom,Verão,4.3,Sim,PayPal,Expresso,Sim,Sim,42,Venmo,Anualmente
154,69,Masculino,Capuz,Roupas,55,North Carolina,M,Marrom,Inverno,3.2,Sim,Cartão de Débito,Padrão,Sim,Sim,22,Cartão de Débito,Anualmente
155,41,Masculino,Vestido,Roupas,98,Oklahoma,M,Carvão,Outono,3.6,Sim,Cartão de Débito,Entrega aérea no dia seguinte,Sim,Sim,21,Venmo,Trimestral
156,63,Masculino,Meias,Roupas,77,Maine,S,Oliva,Primavera,4.3,Sim,Dinheiro,Frete grátis,Sim,Sim,21,Transferência Bancária,Trimestral
157,35,Masculino,Shorts,Roupas,26,Missouri,M,Lavanda,Outono,4.0,Sim,Venmo,Padrão,Sim,Sim,40,Cartão de Débito,Anualmente
